po_id,purchase_date,vendor,category,business_unit,item_description,quantity,unit_price_usd,total_spend_usd,contract_term_months,renewal_date,utilization_pct,status
PO-00205,2023-05-19,Apple,Laptops,Merchant Services,Apple Laptops,18,2128.44,38311.92,36,2026-05-03,69,Active
PO-00206,2024-11-24,Azure,Cloud Services,Fraud & Risk,Azure Cloud Services,1,288316.25,288316.25,36,2027-11-09,100,Active
PO-00207,2023-10-04,Zscaler,Security,Consumer Products,Zscaler Security,31,115553.77,3582166.87,12,2024-09-28,56,Active
PO-00208,2024-10-08,NetApp,Storage,Core Payments,NetApp Storage,2,223160.74,446321.48,36,2027-09-23,16,Pending Renewal
PO-00209,2024-01-27,HP,Laptops,Merchant Services,HP Laptops,28,3158.56,88439.68,36,2027-01-11,44,In Procurement
PO-00210,2025-06-13,Azure,Cloud Services,Merchant Services,Azure Cloud Services,1,641480.51,641480.51,24,2027-06-03,97,Retired
PO-00211,2025-10-15,HP,Laptops,Merchant Services,HP Laptops,105,2490.13,261463.65,36,2028-09-29,91,In Procurement
PO-00212,2024-01-05,Supermicro,Server Hardware,Core Payments,Supermicro Server Hardware,14,30290.77,424070.78,60,2028-12-09,55,Active
PO-00213,2024-09-19,NetApp,Storage,Core Payments,NetApp Storage,3,170316.02,510948.06,36,2027-09-04,49,Retired
PO-00214,2024-12-23,Apple,Laptops,Data Platform,Apple Laptops,31,3089.72,95781.32,60,2029-11-27,54,Active
PO-00215,2025-04-11,Dell EMC,Storage,Core Payments,Dell EMC Storage,1,172728.21,172728.21,36,2028-03-26,31,Active
PO-00216,2023-03-13,HPE,Server Hardware,Corporate IT,HPE Server Hardware,22,36908.54,811987.88,12,2024-03-07,64,Active
PO-00217,2023-03-08,Juniper,Network Hardware,Merchant Services,Juniper Network Hardware,7,114188.72,799321.04,60,2028-02-10,81,Active
PO-00218,2025-01-21,Pure Storage,Storage,Core Payments,Pure Storage Storage,5,47358.35,236791.75,36,2028-01-06,87,Active
PO-00219,2024-01-17,Azure,Cloud Services,Fraud & Risk,Azure Cloud Services,1,30471.54,30471.54,24,2026-01-06,19,Active
PO-00220,2024-08-07,Pure Storage,Storage,Consumer Products,Pure Storage Storage,4,65424.05,261696.20,60,2029-07-12,62,Active
PO-00221,2025-06-30,Cisco,Network Hardware,Fraud & Risk,Cisco Network Hardware,2,56984.91,113969.82,12,2026-06-25,89,Active
PO-00222,2023-11-19,AWS,Cloud Services,Corporate IT,AWS Cloud Services,1,714152.03,714152.03,36,2026-11-03,14,Retired
PO-00223,2023-09-06,GCP,Cloud Services,Fraud & Risk,GCP Cloud Services,1,411917.04,411917.04,12,2024-08-31,72,Active
PO-00224,2026-02-03,Lenovo,Server Hardware,Corporate IT,Lenovo Server Hardware,19,21649.71,411344.49,12,2027-01-29,52,Pending Renewal
PO-00225,2025-09-07,Dell,Server Hardware,Merchant Services,Dell Server Hardware,13,44985.02,584805.26,60,2030-08-12,48,Pending Renewal
PO-00226,2025-08-12,HPE,Server Hardware,Merchant Services,HPE Server Hardware,21,10744.11,225626.31,60,2030-07-17,80,Pending Renewal
PO-00227,2023-09-22,NetApp,Storage,Corporate IT,NetApp Storage,5,57761.34,288806.70,36,2026-09-06,23,In Procurement
PO-00228,2024-04-06,HPE,Server Hardware,Merchant Services,HPE Server Hardware,6,13992.78,83956.68,36,2027-03-22,67,Pending Renewal
PO-00229,2026-02-02,NetApp,Storage,Merchant Services,NetApp Storage,2,164238.42,328476.84,36,2029-01-17,81,Pending Renewal
PO-00230,2024-11-22,HPE,Server Hardware,Corporate IT,HPE Server Hardware,19,13705.19,260398.61,60,2029-10-27,81,Active
PO-00231,2026-03-27,CrowdStrike,Security,Core Payments,CrowdStrike Security,3,170995.70,512987.10,24,2028-03-16,46,Active
PO-00232,2026-01-22,Salesforce,Software License,Core Payments,Salesforce Software License,255,222304.72,56687703.60,24,2028-01-12,37,Retired
PO-00233,2023-05-30,Pure Storage,Storage,Fraud & Risk,Pure Storage Storage,4,84896.96,339587.84,60,2028-05-03,90,Active
PO-00234,2024-10-15,Lenovo,Laptops,Merchant Services,Lenovo Laptops,83,2012.71,167054.93,60,2029-09-19,76,In Procurement
PO-00235,2023-08-06,Pure Storage,Storage,Fraud & Risk,Pure Storage Storage,3,136020.33,408060.99,36,2026-07-21,68,Active
PO-00236,2025-02-25,Arista,Network Hardware,Core Payments,Arista Network Hardware,1,38374.38,38374.38,60,2030-01-30,79,Active
PO-00237,2024-01-24,Arista,Network Hardware,Merchant Services,Arista Network Hardware,10,87929.77,879297.70,12,2025-01-18,41,Active
PO-00238,2025-11-01,Pure Storage,Storage,Core Payments,Pure Storage Storage,1,237129.71,237129.71,36,2028-10-16,68,Active
PO-00239,2025-08-21,Juniper,Network Hardware,Core Payments,Juniper Network Hardware,1,37355.98,37355.98,36,2028-08-05,26,Active
PO-00240,2025-01-19,Juniper,Network Hardware,Consumer Products,Juniper Network Hardware,6,92843.53,557061.18,12,2026-01-14,58,Active
PO-00241,2025-03-02,HPE,Server Hardware,Merchant Services,HPE Server Hardware,18,18678.26,336208.68,60,2030-02-04,41,In Procurement
PO-00242,2023-07-18,Salesforce,Software License,Corporate IT,Salesforce Software License,61,32601.52,1988692.72,24,2025-07-07,76,Active
PO-00243,2024-02-12,Okta,Security,Corporate IT,Okta Security,24,137118.91,3290853.84,36,2027-01-27,42,Active
PO-00244,2025-11-29,HPE,Server Hardware,Consumer Products,HPE Server Hardware,11,37746.74,415214.14,36,2028-11-13,66,Active
PO-00245,2024-10-14,ServiceNow,Software License,Fraud & Risk,ServiceNow Software License,168,232876.50,39123252.00,12,2025-10-09,44,In Procurement
PO-00246,2025-12-26,Dell EMC,Storage,Merchant Services,Dell EMC Storage,5,209648.01,1048240.05,36,2028-12-10,86,Retired
PO-00247,2024-11-09,Splunk,Software License,Data Platform,Splunk Software License,418,4650.92,1944084.56,36,2027-10-25,85,Active
PO-00248,2026-03-30,CrowdStrike,Security,Corporate IT,CrowdStrike Security,31,51467.83,1595502.73,36,2029-03-14,82,Active
PO-00249,2025-02-17,AWS,Cloud Services,Corporate IT,AWS Cloud Services,1,144704.53,144704.53,12,2026-02-12,75,Pending Renewal
PO-00250,2025-05-07,AWS,Cloud Services,Fraud & Risk,AWS Cloud Services,1,358420.47,358420.47,12,2026-05-02,53,Active
PO-00251,2025-11-28,HP,Laptops,Consumer Products,HP Laptops,41,3035.02,124435.82,12,2026-11-23,5,Active
PO-00252,2025-12-27,Datadog,Software License,Merchant Services,Datadog Software License,490,43709.01,21417414.90,24,2027-12-17,38,Pending Renewal
PO-00253,2024-01-29,Dell EMC,Storage,Consumer Products,Dell EMC Storage,3,158368.00,475104.00,12,2025-01-23,64,Active
PO-00254,2025-09-28,Okta,Security,Consumer Products,Okta Security,14,125791.98,1761087.72,24,2027-09-18,86,Active
PO-00255,2026-03-20,Dell EMC,Storage,Consumer Products,Dell EMC Storage,3,82630.50,247891.50,60,2031-02-22,22,Active
PO-00256,2023-06-11,Okta,Security,Fraud & Risk,Okta Security,19,12361.64,234871.16,24,2025-05-31,55,Active
PO-00257,2026-01-08,Azure,Cloud Services,Consumer Products,Azure Cloud Services,1,179049.58,179049.58,24,2027-12-29,98,Active
PO-00258,2025-12-23,HPE,Server Hardware,Fraud & Risk,HPE Server Hardware,2,32783.86,65567.72,12,2026-12-18,54,Retired
PO-00259,2025-08-25,Cisco,Network Hardware,Core Payments,Cisco Network Hardware,7,42983.77,300886.39,12,2026-08-20,62,Pending Renewal
PO-00260,2024-02-13,Palo Alto,Network Hardware,Consumer Products,Palo Alto Network Hardware,8,59906.58,479252.64,36,2027-01-28,57,Active
PO-00261,2024-04-20,Dell EMC,Storage,Core Payments,Dell EMC Storage,1,168290.20,168290.20,60,2029-03-25,64,Active
PO-00262,2025-03-24,Palo Alto,Network Hardware,Fraud & Risk,Palo Alto Network Hardware,1,119674.76,119674.76,36,2028-03-08,25,Active
PO-00263,2023-08-08,Azure,Cloud Services,Core Payments,Azure Cloud Services,1,245729.85,245729.85,24,2025-07-28,53,Pending Renewal
PO-00264,2024-07-12,Datadog,Software License,Fraud & Risk,Datadog Software License,436,126301.06,55067262.16,12,2025-07-07,100,In Procurement
PO-00265,2024-06-10,Lenovo,Server Hardware,Fraud & Risk,Lenovo Server Hardware,24,24979.84,599516.16,60,2029-05-15,82,In Procurement
PO-00266,2025-04-10,Dell EMC,Storage,Consumer Products,Dell EMC Storage,2,56241.30,112482.60,36,2028-03-25,100,Pending Renewal
PO-00267,2023-10-15,NetApp,Storage,Data Platform,NetApp Storage,1,58423.58,58423.58,36,2026-09-29,60,Active
PO-00268,2024-09-10,Lenovo,Laptops,Data Platform,Lenovo Laptops,146,3680.49,537351.54,60,2029-08-15,82,Retired
PO-00269,2024-04-28,Microsoft,Software License,Merchant Services,Microsoft Software License,335,90208.25,30219763.75,12,2025-04-23,55,Active
PO-00270,2024-08-27,Apple,Laptops,Consumer Products,Apple Laptops,70,2860.65,200245.50,36,2027-08-12,46,Pending Renewal
PO-00271,2025-02-04,Arista,Network Hardware,Fraud & Risk,Arista Network Hardware,8,22616.34,180930.72,36,2028-01-20,53,In Procurement
PO-00272,2023-06-17,Salesforce,Software License,Fraud & Risk,Salesforce Software License,391,62242.62,24336864.42,36,2026-06-01,21,Pending Renewal
PO-00273,2026-01-26,NetApp,Storage,Corporate IT,NetApp Storage,1,29513.14,29513.14,60,2030-12-31,76,Active
PO-00274,2025-09-28,Dell EMC,Storage,Data Platform,Dell EMC Storage,1,174869.38,174869.38,12,2026-09-23,94,Pending Renewal
PO-00275,2025-07-24,Dell,Laptops,Data Platform,Dell Laptops,77,2534.44,195151.88,60,2030-06-28,90,In Procurement
PO-00276,2023-01-07,Dell EMC,Storage,Core Payments,Dell EMC Storage,4,74797.45,299189.80,60,2027-12-12,76,Active
PO-00277,2023-05-11,Microsoft,Software License,Core Payments,Microsoft Software License,217,86459.95,18761809.15,36,2026-04-25,100,Active
PO-00278,2023-10-05,Dell,Laptops,Merchant Services,Dell Laptops,219,1667.95,365281.05,60,2028-09-08,66,Retired
PO-00279,2025-02-12,Azure,Cloud Services,Merchant Services,Azure Cloud Services,1,364344.33,364344.33,24,2027-02-02,100,In Procurement
PO-00280,2024-01-01,Oracle,Software License,Consumer Products,Oracle Software License,441,87268.59,38485448.19,36,2026-12-16,95,Active
PO-00281,2023-02-16,Oracle,Software License,Consumer Products,Oracle Software License,115,208787.99,24010618.85,24,2025-02-05,33,Active
PO-00282,2023-11-14,Datadog,Software License,Fraud & Risk,Datadog Software License,127,115426.01,14659103.27,24,2025-11-03,76,Active
PO-00283,2023-02-02,AWS,Cloud Services,Core Payments,AWS Cloud Services,1,495789.33,495789.33,12,2024-01-28,70,Active
PO-00284,2024-04-24,Dell,Laptops,Fraud & Risk,Dell Laptops,32,2245.89,71868.48,60,2029-03-29,77,Active
PO-00285,2024-04-24,CrowdStrike,Security,Fraud & Risk,CrowdStrike Security,33,178859.60,5902366.80,36,2027-04-09,42,In Procurement
PO-00286,2025-12-03,Azure,Cloud Services,Fraud & Risk,Azure Cloud Services,1,702244.07,702244.07,12,2026-11-28,54,Active
PO-00287,2023-12-25,Pure Storage,Storage,Core Payments,Pure Storage Storage,5,237902.26,1189511.30,60,2028-11-28,55,Active
PO-00288,2024-10-14,Dell EMC,Storage,Consumer Products,Dell EMC Storage,4,199664.08,798656.32,60,2029-09-18,42,Active
PO-00289,2026-01-06,Lenovo,Laptops,Merchant Services,Lenovo Laptops,202,1678.09,338974.18,36,2028-12-21,68,In Procurement
PO-00290,2025-05-03,AWS,Cloud Services,Data Platform,AWS Cloud Services,1,454284.90,454284.90,36,2028-04-17,83,Pending Renewal
PO-00291,2023-06-11,Palo Alto,Network Hardware,Fraud & Risk,Palo Alto Network Hardware,5,28383.72,141918.60,36,2026-05-26,73,Retired
PO-00292,2023-03-22,Palo Alto,Security,Core Payments,Palo Alto Security,18,71004.40,1278079.20,12,2024-03-16,60,Active
PO-00293,2024-11-12,Palo Alto,Security,Data Platform,Palo Alto Security,14,157157.92,2200210.88,24,2026-11-02,71,Active
PO-00294,2024-02-23,AWS,Cloud Services,Consumer Products,AWS Cloud Services,1,732408.62,732408.62,24,2026-02-12,66,Active
PO-00295,2025-01-05,Splunk,Software License,Merchant Services,Splunk Software License,195,116829.49,22781750.55,24,2026-12-26,66,Active
PO-00296,2024-10-17,Dell,Laptops,Consumer Products,Dell Laptops,250,3180.24,795060.00,12,2025-10-12,94,Active
PO-00297,2023-10-26,Pure Storage,Storage,Core Payments,Pure Storage Storage,5,218059.94,1090299.70,12,2024-10-20,64,Pending Renewal
PO-00298,2024-04-16,Azure,Cloud Services,Merchant Services,Azure Cloud Services,1,164991.51,164991.51,24,2026-04-06,100,Pending Renewal
PO-00299,2024-11-22,Palo Alto,Security,Data Platform,Palo Alto Security,36,119556.39,4304030.04,24,2026-11-12,70,Retired
PO-00300,2024-12-22,GCP,Cloud Services,Data Platform,GCP Cloud Services,1,142904.58,142904.58,12,2025-12-17,42,Active
PO-00301,2026-01-15,GCP,Cloud Services,Data Platform,GCP Cloud Services,1,734350.52,734350.52,36,2028-12-30,93,In Procurement
PO-00302,2025-04-24,CrowdStrike,Security,Consumer Products,CrowdStrike Security,4,138759.30,555037.20,12,2026-04-19,60,In Procurement
PO-00303,2025-11-01,AWS,Cloud Services,Core Payments,AWS Cloud Services,1,17221.75,17221.75,24,2027-10-22,46,Retired
PO-00304,2025-12-25,Datadog,Software License,Consumer Products,Datadog Software License,250,4425.08,1106270.00,36,2028-12-09,89,Active
PO-00305,2024-08-10,Dell,Server Hardware,Corporate IT,Dell Server Hardware,24,18165.41,435969.84,12,2025-08-05,33,Active
PO-00306,2024-05-08,Palo Alto,Security,Core Payments,Palo Alto Security,7,96767.45,677372.15,12,2025-05-03,67,Pending Renewal
PO-00307,2023-06-11,Splunk,Software License,Merchant Services,Splunk Software License,137,198836.61,27240615.57,24,2025-05-31,91,Active
PO-00308,2023-03-06,AWS,Cloud Services,Merchant Services,AWS Cloud Services,1,526451.22,526451.22,12,2024-02-29,61,Active
PO-00309,2023-01-20,HP,Laptops,Corporate IT,HP Laptops,253,1345.90,340512.70,60,2027-12-25,80,Active
PO-00310,2023-03-29,Azure,Cloud Services,Corporate IT,Azure Cloud Services,1,716885.06,716885.06,12,2024-03-23,90,Active
PO-00311,2024-07-28,Zscaler,Security,Merchant Services,Zscaler Security,3,166727.87,500183.61,36,2027-07-13,62,In Procurement
PO-00312,2025-03-26,NetApp,Storage,Fraud & Risk,NetApp Storage,5,48885.02,244425.10,12,2026-03-21,65,Active
PO-00313,2026-01-12,Arista,Network Hardware,Corporate IT,Arista Network Hardware,7,82859.02,580013.14,36,2028-12-27,41,In Procurement
PO-00314,2025-06-14,GCP,Cloud Services,Core Payments,GCP Cloud Services,1,52420.18,52420.18,12,2026-06-09,92,In Procurement
PO-00315,2025-03-23,Lenovo,Server Hardware,Corporate IT,Lenovo Server Hardware,25,30713.01,767825.25,36,2028-03-07,85,Active
PO-00316,2025-06-03,Lenovo,Laptops,Merchant Services,Lenovo Laptops,293,3646.97,1068562.21,12,2026-05-29,71,Retired
PO-00317,2024-08-27,Salesforce,Software License,Data Platform,Salesforce Software License,44,193155.77,8498853.88,12,2025-08-22,65,Active
PO-00318,2023-08-07,Lenovo,Laptops,Consumer Products,Lenovo Laptops,209,2023.36,422882.24,12,2024-08-01,59,Active
PO-00319,2023-06-28,Pure Storage,Storage,Merchant Services,Pure Storage Storage,3,39024.38,117073.14,12,2024-06-22,42,Pending Renewal
PO-00320,2023-07-10,Dell,Laptops,Core Payments,Dell Laptops,55,2120.18,116609.90,60,2028-06-13,79,Pending Renewal
PO-00321,2025-03-05,Okta,Security,Data Platform,Okta Security,1,56073.29,56073.29,12,2026-02-28,63,Active
PO-00322,2023-10-12,ServiceNow,Software License,Fraud & Risk,ServiceNow Software License,351,95492.64,33517916.64,24,2025-10-01,40,Active
PO-00323,2024-07-19,Pure Storage,Storage,Fraud & Risk,Pure Storage Storage,1,54293.74,54293.74,36,2027-07-04,56,Active
PO-00324,2024-02-05,NetApp,Storage,Consumer Products,NetApp Storage,4,154544.50,618178.00,36,2027-01-20,100,Active
PO-00325,2025-02-17,Juniper,Network Hardware,Core Payments,Juniper Network Hardware,7,43204.98,302434.86,36,2028-02-02,46,In Procurement
PO-00326,2024-02-16,Palo Alto,Security,Merchant Services,Palo Alto Security,21,110561.97,2321801.37,24,2026-02-05,76,Active
PO-00327,2025-10-02,Palo Alto,Network Hardware,Merchant Services,Palo Alto Network Hardware,5,89510.55,447552.75,60,2030-09-06,71,Active
PO-00328,2024-02-14,Zscaler,Security,Merchant Services,Zscaler Security,8,168111.75,1344894.00,36,2027-01-29,48,Pending Renewal
PO-00329,2024-03-05,Cisco,Network Hardware,Consumer Products,Cisco Network Hardware,8,113442.12,907536.96,36,2027-02-18,80,Active
PO-00330,2024-09-12,Zscaler,Security,Consumer Products,Zscaler Security,32,29356.35,939403.20,12,2025-09-07,28,Active
PO-00331,2023-06-01,AWS,Cloud Services,Consumer Products,AWS Cloud Services,1,633370.64,633370.64,24,2025-05-21,93,Active
PO-00332,2025-01-06,ServiceNow,Software License,Consumer Products,ServiceNow Software License,215,136139.48,29269988.20,36,2027-12-22,66,In Procurement
PO-00333,2024-05-23,ServiceNow,Software License,Consumer Products,ServiceNow Software License,469,21702.99,10178702.31,36,2027-05-08,61,Pending Renewal
PO-00334,2023-07-21,Supermicro,Server Hardware,Merchant Services,Supermicro Server Hardware,14,11919.95,166879.30,36,2026-07-05,56,Pending Renewal
PO-00335,2025-07-01,ServiceNow,Software License,Corporate IT,ServiceNow Software License,353,144021.23,50839494.19,24,2027-06-21,38,Pending Renewal
PO-00336,2025-09-15,GCP,Cloud Services,Fraud & Risk,GCP Cloud Services,1,798185.15,798185.15,12,2026-09-10,91,Active
PO-00337,2024-12-03,Dell,Laptops,Core Payments,Dell Laptops,82,2105.65,172663.30,36,2027-11-18,73,Active
PO-00338,2024-09-06,Dell,Laptops,Data Platform,Dell Laptops,241,2029.16,489027.56,12,2025-09-01,41,In Procurement
PO-00339,2023-12-03,AWS,Cloud Services,Core Payments,AWS Cloud Services,1,521896.23,521896.23,36,2026-11-17,68,Active
PO-00340,2025-04-09,Dell EMC,Storage,Data Platform,Dell EMC Storage,4,69486.05,277944.20,60,2030-03-14,81,Active
PO-00341,2024-02-09,Palo Alto,Network Hardware,Data Platform,Palo Alto Network Hardware,1,89799.66,89799.66,36,2027-01-24,49,Retired
PO-00342,2023-05-09,Arista,Network Hardware,Merchant Services,Arista Network Hardware,12,98003.93,1176047.16,60,2028-04-12,56,Active
PO-00343,2023-08-22,Palo Alto,Security,Merchant Services,Palo Alto Security,21,39488.00,829248.00,24,2025-08-11,55,Retired
PO-00344,2023-08-22,Dell EMC,Storage,Data Platform,Dell EMC Storage,5,107247.84,536239.20,36,2026-08-06,45,Active
PO-00345,2024-09-01,Zscaler,Security,Corporate IT,Zscaler Security,12,147404.19,1768850.28,36,2027-08-17,40,Active
PO-00346,2023-10-17,HPE,Server Hardware,Merchant Services,HPE Server Hardware,4,14772.65,59090.60,60,2028-09-20,50,Active
PO-00347,2025-09-23,Lenovo,Laptops,Corporate IT,Lenovo Laptops,206,2299.90,473779.40,60,2030-08-28,20,Active
PO-00348,2024-10-06,Oracle,Software License,Data Platform,Oracle Software License,148,35503.99,5254590.52,24,2026-09-26,56,Pending Renewal
PO-00349,2025-02-25,Lenovo,Server Hardware,Core Payments,Lenovo Server Hardware,16,13051.78,208828.48,60,2030-01-30,42,Retired
PO-00350,2023-06-19,HP,Laptops,Consumer Products,HP Laptops,237,2470.62,585536.94,60,2028-05-23,67,Active
PO-00351,2026-01-06,Palo Alto,Security,Merchant Services,Palo Alto Security,3,53099.26,159297.78,24,2027-12-27,79,Retired
PO-00352,2023-08-22,Zscaler,Security,Corporate IT,Zscaler Security,33,24811.92,818793.36,24,2025-08-11,89,In Procurement
PO-00353,2025-06-22,Splunk,Software License,Corporate IT,Splunk Software License,422,189318.17,79892267.74,36,2028-06-06,72,Retired
PO-00354,2024-12-14,Palo Alto,Security,Merchant Services,Palo Alto Security,3,83703.16,251109.48,12,2025-12-09,90,Active
PO-00355,2024-12-19,CrowdStrike,Security,Fraud & Risk,CrowdStrike Security,14,146872.98,2056221.72,36,2027-12-04,50,Pending Renewal
PO-00356,2025-12-26,Arista,Network Hardware,Fraud & Risk,Arista Network Hardware,1,70558.55,70558.55,36,2028-12-10,53,Pending Renewal
PO-00357,2026-03-18,Oracle,Software License,Merchant Services,Oracle Software License,361,73512.36,26537961.96,24,2028-03-07,93,Retired
PO-00358,2023-05-02,CrowdStrike,Security,Fraud & Risk,CrowdStrike Security,49,142495.93,6982300.57,24,2025-04-21,60,In Procurement
PO-00359,2024-10-21,AWS,Cloud Services,Consumer Products,AWS Cloud Services,1,207245.02,207245.02,12,2025-10-16,70,Active
PO-00360,2023-06-04,Juniper,Network Hardware,Consumer Products,Juniper Network Hardware,7,48144.82,337013.74,60,2028-05-08,35,In Procurement
PO-00361,2025-01-25,CrowdStrike,Security,Data Platform,CrowdStrike Security,33,136215.42,4495108.86,24,2027-01-15,86,Active
PO-00362,2025-01-03,CrowdStrike,Security,Consumer Products,CrowdStrike Security,30,116097.10,3482913.00,12,2025-12-29,61,In Procurement
PO-00363,2024-03-09,Datadog,Software License,Fraud & Risk,Datadog Software License,496,107695.95,53417191.20,24,2026-02-27,63,Active
PO-00364,2024-12-04,ServiceNow,Software License,Fraud & Risk,ServiceNow Software License,290,213179.43,61822034.70,36,2027-11-19,100,In Procurement
PO-00365,2025-07-30,Dell,Server Hardware,Core Payments,Dell Server Hardware,21,37003.92,777082.32,12,2026-07-25,98,Active
PO-00366,2023-09-28,Dell,Laptops,Data Platform,Dell Laptops,113,3788.80,428134.40,60,2028-09-01,98,Active
PO-00367,2023-06-18,Juniper,Network Hardware,Core Payments,Juniper Network Hardware,11,46450.07,510950.77,36,2026-06-02,51,Pending Renewal
PO-00368,2023-07-06,Dell EMC,Storage,Consumer Products,Dell EMC Storage,2,115869.27,231738.54,60,2028-06-09,40,Active
PO-00369,2024-04-08,HPE,Server Hardware,Data Platform,HPE Server Hardware,3,12909.89,38729.67,60,2029-03-13,66,Retired
PO-00370,2024-04-13,NetApp,Storage,Data Platform,NetApp Storage,2,127259.56,254519.12,36,2027-03-29,65,Active
PO-00371,2024-09-04,AWS,Cloud Services,Core Payments,AWS Cloud Services,1,300373.73,300373.73,12,2025-08-30,38,In Procurement
PO-00372,2023-12-03,Arista,Network Hardware,Core Payments,Arista Network Hardware,9,69778.49,628006.41,36,2026-11-17,95,Active
PO-00373,2025-06-25,AWS,Cloud Services,Consumer Products,AWS Cloud Services,1,736716.36,736716.36,12,2026-06-20,76,In Procurement
PO-00374,2023-10-14,Supermicro,Server Hardware,Merchant Services,Supermicro Server Hardware,14,19636.64,274912.96,12,2024-10-08,73,Active
PO-00375,2023-02-24,AWS,Cloud Services,Fraud & Risk,AWS Cloud Services,1,625386.03,625386.03,36,2026-02-08,78,Pending Renewal
PO-00376,2023-04-22,Oracle,Software License,Consumer Products,Oracle Software License,201,74237.74,14921785.74,12,2024-04-16,57,Active
PO-00377,2023-05-26,Dell,Laptops,Fraud & Risk,Dell Laptops,265,2859.01,757637.65,60,2028-04-29,70,Active
PO-00378,2026-01-23,NetApp,Storage,Data Platform,NetApp Storage,5,113902.93,569514.65,60,2030-12-28,65,Active
PO-00379,2023-01-29,Zscaler,Security,Core Payments,Zscaler Security,2,107788.61,215577.22,24,2025-01-18,78,In Procurement
PO-00380,2025-05-17,Apple,Laptops,Consumer Products,Apple Laptops,266,3194.49,849734.34,60,2030-04-21,100,Active
PO-00381,2025-11-13,HPE,Server Hardware,Merchant Services,HPE Server Hardware,3,19466.55,58399.65,12,2026-11-08,80,Active
PO-00382,2024-05-03,Dell,Laptops,Merchant Services,Dell Laptops,233,3097.89,721808.37,12,2025-04-28,65,Active
PO-00383,2023-04-23,Supermicro,Server Hardware,Core Payments,Supermicro Server Hardware,15,30654.98,459824.70,36,2026-04-07,51,Active
PO-00384,2023-12-02,Dell,Server Hardware,Consumer Products,Dell Server Hardware,5,33955.49,169777.45,36,2026-11-16,40,Active
PO-00385,2023-09-17,ServiceNow,Software License,Consumer Products,ServiceNow Software License,133,42157.26,5606915.58,36,2026-09-01,71,Active
PO-00386,2023-05-11,CrowdStrike,Security,Merchant Services,CrowdStrike Security,28,52596.60,1472704.80,24,2025-04-30,50,Retired
PO-00387,2025-01-07,Salesforce,Software License,Core Payments,Salesforce Software License,255,114071.85,29088321.75,12,2026-01-02,39,Active
PO-00388,2023-08-25,Juniper,Network Hardware,Core Payments,Juniper Network Hardware,10,82523.85,825238.50,12,2024-08-19,68,Retired
PO-00389,2024-05-15,Microsoft,Software License,Core Payments,Microsoft Software License,440,215800.66,94952290.40,12,2025-05-10,46,Active
PO-00390,2025-05-08,Cisco,Network Hardware,Corporate IT,Cisco Network Hardware,12,90176.57,1082118.84,12,2026-05-03,71,Pending Renewal
PO-00391,2023-09-02,Azure,Cloud Services,Merchant Services,Azure Cloud Services,1,461513.41,461513.41,36,2026-08-17,64,Active
PO-00392,2024-08-01,CrowdStrike,Security,Data Platform,CrowdStrike Security,5,158473.47,792367.35,24,2026-07-22,61,Active
PO-00393,2026-02-28,Supermicro,Server Hardware,Core Payments,Supermicro Server Hardware,12,15424.83,185097.96,36,2029-02-12,66,Active
PO-00394,2024-05-17,Datadog,Software License,Fraud & Risk,Datadog Software License,376,225160.60,84660385.60,12,2025-05-12,51,Active
PO-00395,2023-01-20,Dell,Laptops,Fraud & Risk,Dell Laptops,287,2100.70,602900.90,36,2026-01-04,100,In Procurement
PO-00396,2024-05-02,GCP,Cloud Services,Merchant Services,GCP Cloud Services,1,172103.55,172103.55,24,2026-04-22,68,Active
PO-00397,2025-11-30,Juniper,Network Hardware,Core Payments,Juniper Network Hardware,1,110946.56,110946.56,36,2028-11-14,61,Retired
PO-00398,2025-03-18,Dell,Server Hardware,Corporate IT,Dell Server Hardware,5,31576.98,157884.90,12,2026-03-13,47,Pending Renewal
PO-00399,2024-04-29,Microsoft,Software License,Data Platform,Microsoft Software License,340,241072.46,81964636.40,24,2026-04-19,66,In Procurement
PO-00400,2023-06-02,Apple,Laptops,Merchant Services,Apple Laptops,241,1907.09,459608.69,12,2024-05-27,87,Active
PO-00401,2025-08-12,CrowdStrike,Security,Fraud & Risk,CrowdStrike Security,7,33765.62,236359.34,24,2027-08-02,45,In Procurement
PO-00402,2023-09-03,Palo Alto,Network Hardware,Merchant Services,Palo Alto Network Hardware,8,35475.91,283807.28,12,2024-08-28,83,Active
PO-00403,2024-03-16,Okta,Security,Consumer Products,Okta Security,45,110577.94,4976007.30,24,2026-03-06,88,Active
PO-00404,2023-12-23,Dell,Laptops,Consumer Products,Dell Laptops,163,1876.43,305858.09,12,2024-12-17,95,Active
PO-00405,2023-07-13,Zscaler,Security,Corporate IT,Zscaler Security,48,101271.16,4861015.68,24,2025-07-02,99,Active
PO-00406,2025-03-31,Dell,Server Hardware,Fraud & Risk,Dell Server Hardware,5,15330.92,76654.60,36,2028-03-15,91,Retired
PO-00407,2023-06-03,GCP,Cloud Services,Core Payments,GCP Cloud Services,1,734768.58,734768.58,12,2024-05-28,82,Retired
PO-00408,2025-08-02,Lenovo,Laptops,Core Payments,Lenovo Laptops,179,1518.57,271824.03,12,2026-07-28,67,Active
PO-00409,2025-02-22,Datadog,Software License,Consumer Products,Datadog Software License,203,124283.53,25229556.59,36,2028-02-07,49,Active
PO-00410,2024-05-18,Pure Storage,Storage,Data Platform,Pure Storage Storage,2,23142.62,46285.24,60,2029-04-22,77,Active
